Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: AI safety publications,Publications: Large language model publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
Airbnb,314,United States,http://airbnb.com,S&P 500,,North America,Mature,Software & IT Services,"Airbnb is an online community marketplace for people to list, discover, and book accommodations through mobile phones or the internet.",crunchbase,https://www.crunchbase.com/organization/airbnb,2024-05-16,37,27.777777777777782,26.2,20,1386,4,6,0,0,1,141,67,13.888888888888886,19.9,34,337,0,1,41,0,0,1,0,0,1,1,0,0,3,49,0,0,0,11,1,0,5,1,0,4,4,0,30,0,1,436,2600,San Francisco,California,https://parat.eto.tech/company/314-airbnb
Arm,338,United Kingdom,http://www.arm.com,,,Europe,Mature,Technology Equipment,"Arm Holdings plc (formerly an acronym for Advanced RISC Machines and originally Acorn RISC Machine) is a British semiconductor and software design company based in Cambridge, England, whose primary business is the design of central processing unit (CPU) cores that implement the ARM architecture family of instruction sets. It also designs other chips, provides software development tools under the DS-5, RealView and Keil brands, and provides systems and platforms, system-on-a-chip (SoC) infrastructure and software. As a ""holding"" company, it also holds shares of other companies. Since 2016, it has been majority owned by Japanese conglomerate SoftBank Group.",wikipedia,https://en.wikipedia.org/wiki/Arm_Holdings,2024-05-24,69,-0.4166666666666667,11.6,4,3002,19,1,6,0,3,595,257,25.239234449760765,11.1,166,2324,0,2,2,0,0,0,2,1,0,2,0,0,0,170,1,11,0,30,7,7,64,16,1,11,0,6,1,0,3,60,2587,Cambridge,Cambridgeshire,https://parat.eto.tech/company/338-arm
American Airlines Group,1978,United States,https://www.aa.com/,S&P 500,,North America,Mature,Mineral Resources,"American Airlines is an airline company that operates a diverse fleet of aircraft, including narrow-body and wide-body jets.",crunchbase,https://www.crunchbase.com/organization/american-airli,2024-05-16,1,,2.6,0,32,0,0,0,0,0,39,4,-100.0,14.8,4,27,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,2,0,0,0,0,3,0,0,294,2561,Fort Worth,Texas,https://parat.eto.tech/company/1978-american-airlines-group
Jacobs Engineering Group,2376,United States,http://www.jacobs.com/,S&P 500,,North America,Mature,Industrial & Commercial Services,"Jacobs leads the global professional services sector delivering solutions for a more connected, sustainable world.",crunchbase,https://www.crunchbase.com/organization/jacobs,2024-05-16,49,2.7777777777777786,1.6,0,742,3,0,31,0,0,2978,1,,1.9,0,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,2557,Dallas,Texas,https://parat.eto.tech/company/2376-jacobs-engineering-group
Databricks,410,United States,https://databricks.com,,,North America,Mature,Software & IT Services,Databricks is an AI cloud data platform that interacts with corporate information stored in the public cloud.,crunchbase,https://www.crunchbase.com/organization/databricks,2024-05-16,15,-41.66666666666667,17.0,1,2566,3,1,0,0,1,88,11,-100.0,8.6,4,128,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,297,2551,San Francisco,California,https://parat.eto.tech/company/410-databricks
Pfizer,1928,United States,https://www.pfizer.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,"Pfizer is a biopharmaceutical company that provides affordable access to safe, effective medicines and health care services.",crunchbase,https:// https://www.crunchbase.com/organization/pfizer,2024-05-16,185,46.75925925925926,1.0,3,6560,24,19,2,3,17,18787,12,-50.0,0.8,5,1514,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,724,2532,New York,New York,https://parat.eto.tech/company/1928-pfizer
Applied Materials,335,United States,http://appliedmaterials.com/,S&P 500,,North America,Mature,Technology Equipment,Applied Materials is a semiconductor and display equipment company that offers materials engineering solutions.,crunchbase,https://www.crunchbase.com/organization/applied-materials,2024-05-16,38,67.5925925925926,3.2,2,544,12,0,8,0,1,1201,422,110.18518518518518,4.5,164,9398,0,0,7,0,0,0,3,0,64,7,0,0,1,143,67,6,181,18,0,45,148,122,0,21,0,120,7,0,0,235,2483,Santa Clara,California,https://parat.eto.tech/company/335-applied-materials
Garmin,2335,United States,http://www.garmin.com/,S&P 500,,North America,Mature,Technology Equipment,"Garmin manufactures marine, aviation, and consumer technologies suitable to run on global positioning systems.",crunchbase,https://www.crunchbase.com/organization/garmin,2024-05-16,3,-100.0,8.6,0,88,0,0,1,0,0,35,7,-25.0,2.1,5,328,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,1,6,1,1,0,0,0,0,0,0,0,36,2472,Olathe,Kansas,https://parat.eto.tech/company/2335-garmin
Splunk,237,United States,https://www.splunk.com,,,North America,Mature,Software & IT Services,"Splunk is a software company that provides operational intelligence software that monitors, reports, and analyzes real-time machine data.",crunchbase,https://www.crunchbase.com/organization/splunk,2024-05-16,19,96.66666666666667,57.6,0,325,3,2,0,4,2,33,1,,25.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,112,2402,San Francisco,California,https://parat.eto.tech/company/237-splunk
FactSet,6956,United States,https://www.factset.com/,S&P 500,,North America,Mature,Unknown,"FactSet Research Systems Inc., trading as FactSet, is an American financial data and software company headquartered in Norwalk, Connecticut, United States. The company provides integrated data and software. For fiscal year 2023, FactSet's total ASV and professional services revenues were $2.09 billion. FactSet's total market value is approximately $15 billion.",wikipedia,https://en.wikipedia.org/wiki/FactSet,2024-06-04,2,,4.0,0,33,2,0,0,0,0,50,1,,50.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,2396,Norwalk,Connecticut,https://parat.eto.tech/company/6956-factset
Snap,694,United States,https://www.snap.com,,,North America,Mature,Software & IT Services,"Snap is a technology company that offers the products Snapchat, Spectacles, and Bitmoji.",crunchbase,https://www.crunchbase.com/organization/snapchat,2024-05-16,302,9.223536758838428,67.1,139,36694,197,33,7,13,56,450,514,24.42612942612942,20.3,249,2534,0,0,56,0,0,4,0,13,4,8,0,0,31,261,0,5,0,150,7,10,327,9,0,13,1,6,15,0,35,373,2376,Santa Monica,California,https://parat.eto.tech/company/694-snap
United Airlines,2009,United States,https://ir.united.com/,S&P 500,,North America,Mature,Transportation,"United Airlines and United Express operate approximately 5,000 flights each day to more than 370 destinations throughout the world.",crunchbase,https:// https://www.crunchbase.com/organization/united-airlines,2024-05-16,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,2357,Chicago,Illinois,https://parat.eto.tech/company/2009-united-airlines
Trimble,6983,United States,https://www.trimble.com/en,S&P 500,,North America,Mature,Unknown,"Trimble Inc. is an American software, hardware, and services technology company. Trimble supports global industries in building & construction, agriculture, geospatial, natural resources and utilities, governments, transportation and others. Trimble also does hardware development of global navigation satellite system (GNSS) receivers, scanners, total stations, laser rangefinders, unmanned aerial vehicles (UAVs), inertial navigation systems and software processing tools.",wikipedia,https://en.wikipedia.org/wiki/Trimble_Inc.,2024-06-04,12,16.666666666666668,12.2,0,144,5,0,4,0,0,98,25,19.444444444444446,6.8,16,365,4,0,2,0,0,0,0,0,1,0,0,0,0,19,7,0,0,9,4,6,11,4,0,0,0,11,2,0,0,79,2354,Westminster,Colorado,https://parat.eto.tech/company/6983-trimble
3M,298,United States,https://www.3m.com,S&P 500,,North America,Mature,Consumer Goods Conglomerates,3M operates as a diversified technology company.,crunchbase,https://www.crunchbase.com/organization/3m,2024-05-16,25,13.888888888888886,2.2,4,443,6,9,2,0,1,1112,128,77.39156268568034,1.8,35,7122,0,4,18,0,0,2,2,0,15,54,0,0,0,49,8,9,2,11,6,21,33,13,1,5,3,15,17,0,5,333,2313,Saint Paul,Minnesota,https://parat.eto.tech/company/298-3m
PTC,6977,United States,https://www.ptc.com/en,S&P 500,,North America,Mature,Unknown,"PTC Inc. (formerly Parametric Technology Corporation) is a computer software and services company founded in 1985 and headquartered in Boston, Massachusetts. The company was a pioneer in parametric, associative feature-based, solid computer-aided design (CAD) modeling software in 1988, including an Internet-based product for Product Lifecycle Management (PLM) in 1998. PTC (NASDAQ: PTC) markets products and services and an Internet of Things (IoT) and augmented reality (AR) platform for partners and developers.",wikipedia,https://en.wikipedia.org/wiki/PTC_(software_company),2024-06-04,18,1.6666666666666667,17.0,0,348,4,0,9,0,0,106,6,-50.0,12.0,2,50,0,0,2,0,0,0,0,0,0,1,0,0,0,6,0,1,0,1,0,0,2,1,0,1,0,1,1,0,0,64,2277,Boston,Massachusetts,https://parat.eto.tech/company/6977-ptc
Lowe's,1876,United States,https://www.lowes.com/,S&P 500,,North America,Mature,Retailers,"Lowe’s provides the skills you need to manage your home, and offer the best customer services.",crunchbase,https://www.crunchbase.com/organization/lowes,2024-05-16,15,50.0,44.1,8,118,3,3,2,0,2,34,3,-50.0,6.1,2,49,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,279,2273,Mooresville,North Carolina,https://parat.eto.tech/company/1876-lowes
Willis Towers Watson,2545,United Kingdom,https://www.wtwco.com/,S&P 500,,Europe,Mature,Insurance,Willis Towers Watson is a global advisory and solutions company that helps clients around the world turn risk into a path for growth.,crunchbase,https://www.crunchbase.com/organization/willis-towers-watson,2024-05-16,3,-50.0,1.8,0,87,1,0,0,0,0,163,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2259,London,London,https://parat.eto.tech/company/2545-willis-towers-watson
JD.com,133,China,http://corporate.jd.com/,"Global Big Tech, GenAI Contenders",Jingdong AI,Asia,Mature,Retailers,JD.com is an internet company and online consumer electronics retailer in China.,crunchbase,https://www.crunchbase.com/organization/jd-com,2024-05-16,740,-1.901822049574547,68.5,265,51668,279,121,35,35,144,1080,793,7.0886075949367084,12.2,274,6512,3,12,207,2,1,1,3,0,49,4,0,0,2,391,2,14,0,37,53,15,105,28,0,24,1,20,135,1,59,439,2249,Beijing,Beijing ,https://parat.eto.tech/company/133-jd-com
Gartner,2336,United States,https://www.gartner.com/,S&P 500,,North America,Mature,Software & IT Services,"Gartner provides fact-based consulting services, helping clients use and manage IT to enhance business performance.",crunchbase,https://www.crunchbase.com/organization/gartner,2024-05-16,4,-100.0,6.2,0,12,0,0,0,0,0,64,1,,25.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,547,2246,Stamford,Connecticut,https://parat.eto.tech/company/2336-gartner
Ameriprise Financial,2212,United States,https://www.ameriprise.com/,S&P 500,H&R Block,North America,Mature,Banking & Investment Services,"Ameriprise Financial is a financial services company that provides financial planning, products, and services.",crunchbase,https://www.crunchbase.com/organization/ameriprise-financial,2024-05-16,0,,0.0,0,0,0,0,0,0,0,8,0,,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,2109,Minneapolis,Minnesota,https://parat.eto.tech/company/2212-ameriprise-financial
Eli Lilly And Company,434,United States,http://www.lilly.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,"Eli Lilly engages in the discovery, development, manufacture, and sale of products in pharmaceutical products business segment.",crunchbase,https://www.crunchbase.com/organization/eli-lilly,2024-05-16,132,61.95558827137774,1.2,3,2517,31,4,3,1,5,11250,9,,0.7,1,1233,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,3,3,1,0,0,0,2,0,0,0,618,2107,Indianapolis,Indiana,https://parat.eto.tech/company/434-eli-lilly-and-company
Alibaba,21,China,http://alibabagroup.com,"Global Big Tech, GenAI Contenders",,Asia,Mature,Software & IT Services,"Alibaba Group enables businesses to transform the way they market, sell, operate, and improve their efficiencies.",crunchbase,https://www.crunchbase.com/organization/alibaba,2024-05-16,4233,2.2556030416374733,65.3,1738,157365,1562,988,92,142,1160,6485,2406,38.971318636185906,8.3,1194,28930,2,134,430,14,0,7,14,7,45,32,0,0,11,1408,3,88,2,204,56,39,422,25,3,92,22,38,209,0,111,409,2103,Hangzhou,Zhejiang,https://parat.eto.tech/company/21-alibaba
Sanofi,989,France,https://www.sanofi.com/,,,Europe,Mature,Pharmaceuticals & Medical Research,Sanofi is a healthcare company that provides treatments and the protection of life-saving vaccines.,crunchbase,https://www.crunchbase.com/organization/sanofi,2024-05-16,125,45.96153846153846,1.0,2,2585,12,10,3,1,7,12021,51,161.11111111111111,2.3,16,2245,0,0,0,0,0,0,0,0,0,38,0,0,0,6,3,0,0,0,0,4,9,0,0,1,0,3,0,0,0,677,2102,Paris,Île-De-France,https://parat.eto.tech/company/989-sanofi
Warner Bros. Discovery,3162,United States,https://wbd.com/,S&P 500,,North America,Mature,Cyclical Consumer Services,Warner Bros. Discovery is an media conglomerate formed from the 2022 merger of WarnerMedia and Discovery.,crunchbase,https://www.crunchbase.com/organization/discovery-inc,2024-05-16,2,,4.3,1,10,0,0,0,0,0,47,12,2.777777777777781,25.0,8,48,0,0,4,0,0,2,0,3,1,2,0,0,1,7,0,0,0,7,0,3,2,0,0,1,0,0,2,0,2,262,2088,New York,New York,https://parat.eto.tech/company/3162-warner-bros-discovery
Baker Hughes,1564,United States,http://www.bakerhughes.com,S&P 500,,North America,Mature,Industrial & Commercial Services,Baker Hughes is an energy technology company that provides solutions for energy and industrial customers worldwide.,crunchbase,https://www.crunchbase.com/organization/baker-hughes,2024-05-16,76,8.45117845117845,2.1,0,657,11,1,13,0,1,3609,94,68.51851851851852,2.3,50,4170,1,0,10,0,0,1,4,0,19,3,0,0,0,39,43,3,0,6,1,11,22,32,0,5,2,30,10,0,0,301,2073,Houston,Texas,https://parat.eto.tech/company/1564-baker-hughes
Xerox,787,United States,https://www.xerox.com/,,,North America,Mature,Software & IT Services,"Xerox is a document management technology and services enterprise, producing printing and publishing systems, copiers and fax machines.",crunchbase,https://www.crunchbase.com/organization/xerox,2024-05-16,162,-83.33333333333334,35.7,44,25974,46,60,5,1,4,454,177,-16.11239637555427,12.4,123,1423,2,1,18,0,2,2,3,0,14,16,0,3,3,99,4,5,3,32,11,33,53,25,0,17,11,24,13,0,6,98,2067,Norwalk,Connecticut,https://parat.eto.tech/company/787-xerox
Keysight Technologies,2383,United States,https://www.keysight.com/,S&P 500,,North America,Mature,Technology Equipment,Keysight Technologies is an electronic measurement company.,crunchbase,https://www.crunchbase.com/organization/keysight-technologies,2024-05-16,28,-30.555555555555557,3.5,0,348,7,0,4,0,0,795,20,-16.666666666666668,3.2,11,633,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0,9,0,5,0,1,0,3,0,1,0,0,0,50,2024,Santa Rosa,California,https://parat.eto.tech/company/2383-keysight-technologies
Boston Consulting Group,718,United States,https://www.bcg.com/,,,North America,Mature,Industrial & Commercial Services,The Boston Consulting Group is a global management consulting firm and an advisor on business strategy.,crunchbase,https://www.crunchbase.com/organization/boston-consulting-group,2024-05-16,40,93.33333333333333,6.6,3,1135,5,4,5,2,3,609,28,116.66666666666667,54.9,11,51,1,4,20,0,0,0,0,0,2,2,0,0,0,13,2,0,0,3,0,1,0,0,0,0,0,0,8,0,2,857,2021,Boston,Massachusetts,https://parat.eto.tech/company/718-boston-consulting-group
Northern Trust,2437,United States,https://www.northerntrust.com/,S&P 500,,North America,Mature,Banking & Investment Services,"Northern Trust is a global leader in delivering innovative investment management, asset and fund administration, fiduciary and banking.",crunchbase,https://www.crunchbase.com/organization/northern-trust,2024-05-16,0,,0.0,0,0,0,0,0,0,0,8,2,,18.2,1,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,264,2018,Chicago,Illinois,https://parat.eto.tech/company/2437-northern-trust
Arista Networks,2220,United States,https://www.arista.com/,S&P 500,,North America,Mature,Technology Equipment,Arista Networks is a computer networking firm delivering cloud networking solutions for large data center and computer environments.,crunchbase,https://www.crunchbase.com/organization/arista-networks,2024-05-16,5,0.0,9.1,0,12,1,1,0,1,1,55,19,-50.0,2.4,10,785,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,19,0,15,0,0,0,10,0,0,0,0,0,20,2014,Santa Clara,California,https://parat.eto.tech/company/2220-arista-networks
ZTE,289,China,http://zte.com.cn,,,Asia,Mature,Technology Equipment,ZTE provides telecommunications equipment and network solutions.,crunchbase,https://www.crunchbase.com/organization/zte-corporation,2024-05-16,151,4.969866734572617,8.2,9,2927,72,11,9,3,13,1832,720,28.659611992945326,1.9,139,37753,0,0,33,2,0,4,5,0,10,5,0,0,0,264,7,28,0,354,14,148,101,9,0,17,1,21,29,0,9,36,2011,Shenzhen,Guangdong,https://parat.eto.tech/company/289-zte
Global Payments,2341,United States,https://www.globalpaymentsinc.com/,S&P 500,,North America,Mature,Industrial & Commercial Services,"Global Payments offers transaction processing services through their high-speed, robust electronic information networks.",crunchbase,https://www.crunchbase.com/organization/global-payments,2024-05-16,1,,33.3,0,0,0,1,0,0,0,3,4,-50.0,13.3,2,30,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,98,2009,Atlanta,Georgia,https://parat.eto.tech/company/2341-global-payments
KPMG,539,United States,http://www.kpmg.com/,,,North America,Mature,Industrial & Commercial Services,"KPMG is a network of independent member firms offering audit, tax, and advisory services.",crunchbase,https://www.crunchbase.com/organization/kpmg,2024-05-16,48,-5.026455026455025,5.2,1,765,6,7,2,1,0,920,48,-72.22222222222223,39.0,18,123,0,7,13,1,0,0,0,0,0,2,0,0,0,30,0,6,0,5,0,0,2,0,0,14,1,0,12,0,0,406,2006,Montvale,New Jersey,https://parat.eto.tech/company/539-kpmg
Cardinal Health,1807,United States,https://www.cardinalhealth.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,Cardinal Health is a manufacturer and distributor of medical and laboratory products.,crunchbase,https://www.crunchbase.com/organization/cardinal-health,2024-05-16,13,216.66666666666666,2.1,0,114,0,3,0,0,0,628,2,-50.0,2.2,1,89,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,324,2005,Dublin,Ohio,https://parat.eto.tech/company/1807-cardinal-health
Eaton Corporation,427,Ireland,http://www.eaton.com,S&P 500,,Europe,Mature,Industrial Goods,"Eaton Corporation is a diversified power management company for electrical, hydraulic, and mechanical applications.",crunchbase,https://www.crunchbase.com/organization/eaton,2024-05-16,22,33.333333333333336,2.7,0,551,4,0,1,0,0,825,40,100.0,1.1,5,3657,0,0,5,0,0,1,9,1,2,3,0,0,0,12,3,2,0,3,3,2,1,7,0,8,0,10,4,0,0,198,2000,Dublin,Dublin,https://parat.eto.tech/company/427-eaton-corporation
Nasdaq,2425,United States,https://www.nasdaq.com/,S&P 500,,North America,Mature,Banking & Investment Services,"Nasdaq is a global provider of trading, clearing, exchange technology, listing, information, and public company services.",crunchbase,https://www.crunchbase.com/organization/nasdaq,2024-05-16,2,-100.0,6.1,0,0,0,0,0,0,0,33,24,55.55555555555555,12.6,12,190,0,2,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1,2,0,0,2,0,0,4,0,0,135,1994,New York,New York,https://parat.eto.tech/company/2425-nasdaq
Dominion Energy,2290,United States,https://www.dominionenergy.com/,S&P 500,,North America,Mature,Utilities,Dominion is an electric power and natural gas company.,crunchbase,https://www.crunchbase.com/organization/dominion-resources-inc,2024-05-16,0,,0.0,0,0,0,0,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1994,Richmond,Virginia,https://parat.eto.tech/company/2290-dominion-energy
Best Buy,1995,United States,https://www.bestbuy.com/,S&P 500,,North America,Mature,Retailers,Best Buy is a multinational retailer of technology and entertainment products and services offering consumer electronics and more.,crunchbase,https:// https://www.crunchbase.com/organization/bestbuy,2024-05-16,1,,5.9,0,1,0,0,0,0,1,17,3,-100.0,3.6,3,84,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,206,1977,Richfield,Minnesota,https://parat.eto.tech/company/1995-best-buy
CBRE Group,2249,United States,https://www.cbre.us,S&P 500,,North America,Mature,Real Estate,CBRE Group provides commercial real estate services and investments.,crunchbase,https://www.crunchbase.com/organization/cbre-group,2024-05-16,0,,0.0,0,0,0,0,0,0,0,66,4,0.0,40.0,1,10,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,401,1947,Dallas,Texas,https://parat.eto.tech/company/2249-cbre-group
AbbVie,2083,United States,https://www.abbvie.com/,S&P 500,Allergan,North America,Mature,Pharmaceuticals & Medical Research,"AbbVie is a pharmaceutical company that discovers, develops, and markets medicines.",crunchbase,https:// https://www.crunchbase.com/organization/abbvie,2024-05-16,62,73.01587301587301,0.6,0,827,12,3,1,1,3,10363,3,,0.3,2,899,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,685,1915,North Chicago,Illinois,https://parat.eto.tech/company/2083-abbvie
Prudential Financial,1895,United States,https://www.prudential.com/,S&P 500,,North America,Mature,Insurance,"Prudential Financial specializes in the fields of investment management, life insurance, and retirement benefits.",crunchbase,https:// https://www.crunchbase.com/organization/prudential-financial,2024-05-16,2,-100.0,3.2,0,9,1,0,0,0,0,63,1,,50.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,1911,Newark,New Jersey,https://parat.eto.tech/company/1895-prudential-financial
Principal Financial Group,2462,United States,https://www.principal.com/,S&P 500,,North America,Mature,Insurance,"Principal Financial Group provides retirement savings, investment, and insurance products and services worldwide.",crunchbase,https://www.crunchbase.com/organization/principal-financial-group,2024-05-16,2,-100.0,7.7,0,1,0,0,0,0,0,26,1,,20.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,1908,Des Moines,Iowa,https://parat.eto.tech/company/2462-principal-financial-group
McKesson,1794,United States,https://www.mckesson.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,"McKesson distributes medical supplies, information technology, and care management products and services.",crunchbase,https://www.crunchbase.com/organization/mckesson,2024-05-16,20,-12.5,7.5,0,65,7,1,0,1,0,265,13,0.0,9.6,8,136,0,2,7,0,0,0,0,0,0,4,0,0,0,6,0,0,0,3,0,0,3,0,0,2,0,2,7,0,0,307,1894,Irving,Texas,https://parat.eto.tech/company/1794-mckesson
American International Group,3105,United States,https://www.aig.com/,S&P 500,,North America,Mature,Insurance,"American International Group provides property insurance, life insurance, and financial services.",crunchbase,https:// https://www.crunchbase.com/organization/american-international-group ,2024-05-16,9,-75.0,12.2,2,105,1,4,0,0,3,74,5,-50.0,35.7,5,14,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,4,0,0,1,0,0,3,0,0,267,1870,New York,New York,https://parat.eto.tech/company/3105-american-international-group
Analog Devices,331,United States,http://www.analog.com,S&P 500,,North America,Mature,Technology Equipment,"Analog Devices (NYSE: ADI) defines innovation and excellence in signal processing. ADI's analog, mixed-signal, and digital signal",crunchbase,https://www.crunchbase.com/organization/analog-devices,2024-05-16,43,23.333333333333332,4.4,1,778,11,0,10,1,0,980,81,156.19047619047618,2.8,33,2854,0,0,0,0,0,0,3,0,1,17,0,0,0,47,0,2,0,17,6,19,5,6,0,0,0,13,0,0,7,98,1867,Wilmington,Massachusetts,https://parat.eto.tech/company/331-analog-devices
Microchip Technology,2415,United States,http://www.microchip.com/,S&P 500,,North America,Mature,Technology Equipment,Microchip Technology develops and manufactures semiconductor products for various embedded control applications worldwide.,crunchbase,https://www.crunchbase.com/organization/microchip-technology,2024-05-16,13,55.55555555555555,4.4,0,186,3,1,3,0,1,298,153,82.63888888888889,10.4,82,1465,0,0,1,0,0,0,0,0,0,0,0,0,0,124,0,3,7,12,0,3,1,2,0,1,0,1,1,0,0,19,1828,Chandler,Arizona,https://parat.eto.tech/company/2415-microchip-technology
Zebra Technologies,2551,United States,https://www.zebra.com/,S&P 500,,North America,Mature,Technology Equipment,"Zebra Technologies is a provider of solutions such as barcode printers, scanners, RFID technology, handheld computers, and more.",crunchbase,https://www.crunchbase.com/organization/zebra-technologies,2024-05-16,21,4.761904761904764,32.8,0,411,11,1,2,0,0,64,100,273.2492997198879,6.6,54,1522,0,11,26,0,2,0,0,0,4,1,0,0,0,52,0,3,0,14,12,1,32,13,0,1,9,11,22,2,0,102,1827,Lincolnshire,Illinois,https://parat.eto.tech/company/2551-zebra-technologies
Dish Network,2288,United States,https://www.dish.com/,,,North America,Mature,Cyclical Consumer Services,DISH Network provides television entertainment and technology to customers with its satellite DISH TV and streaming SLING TV services.,crunchbase,https://www.crunchbase.com/organization/dish-network,2024-05-16,2,-100.0,20.0,0,78,0,1,0,0,0,10,63,57.43145743145743,10.6,41,594,0,3,14,0,0,1,0,1,0,2,0,0,1,22,0,2,0,43,8,13,3,8,0,4,1,4,2,0,4,221,1750,Englewood,Colorado,https://parat.eto.tech/company/2288-dish-network
Southwest Airlines,2494,United States,https://www.southwest.com/,S&P 500,,North America,Mature,Transportation,Southwest Airlines (NYSE: LUV) continues to differentiate itself from other carriers with exemplary Customer Service delivered .,crunchbase,https://www.crunchbase.com/organization/southwest-airlines,2024-05-16,3,-100.0,23.1,0,28,0,0,0,0,0,13,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1746,Dallas,Texas,https://parat.eto.tech/company/2494-southwest-airlines
CDW,2250,United States,http://cdw.com/,S&P 500,,North America,Mature,Technology Equipment,"CDW is a provider of IT solutions for business, government, education, and healthcare.",crunchbase,https://www.crunchbase.com/organization/cdw-corporation,2024-05-16,0,,0.0,0,0,0,0,0,0,0,3,22,50.0,47.8,13,46,0,0,15,0,0,2,0,0,0,2,0,0,0,17,0,5,0,12,0,6,2,2,0,2,0,0,14,0,5,95,1734,Vernon Hills,Illinois,https://parat.eto.tech/company/2250-cdw
